Date,Country,Region,Plastic_Waste_Tons,Plastic_Recycled_Tons,Burned_Waste_Tons,Illegal_Dumping_Cases,Trees_Cut,Deforestation_Area_Ha,Forest_Fires_Reported,CO2_Emissions_Tons,Water_Pollution_Index,Air_Quality_Index,Population_Affected,Government_Interventions,Reforestation_Projects,Waste_Collected_Tons,Plastic_Bans_Enforced,Awareness_Campaigns,Monitoring_Stations
2020-01-26,India,Rural,1997.2,883.29,1326.93,3,938,11.6,1,4636.86,41.53,144.8,6910,5,1,4194.42,0,5,44
2022-05-10,Germany,Suburban,7786.89,380.71,339.73,4,803,9.67,1,4894.14,61.78,70.12,64729,7,4,448.57,0,5,43
2022-09-30,Philippines,Rural,2840.67,125.04,522.0,3,566,5.01,2,6753.2,78.66,103.54,45419,7,3,3027.1,0,14,27
2020-08-04,Indonesia,Forest,2208.76,1604.73,775.99,4,423,7.98,2,6144.36,51.24,62.03,88486,7,0,4466.44,1,5,6
2022-06-06,Nigeria,Urban,1494.23,1270.84,816.88,4,823,19.8,1,3460.67,80.81,135.67,20590,7,4,1459.07,1,10,11
2022-01-11,Indonesia,Urban,533.09,47.23,567.89,5,667,3.34,3,4390.39,49.57,113.95,69575,9,3,981.48,1,7,17
2023-07-25,China,Forest,1411.12,1215.23,508.73,3,173,11.08,0,3101.99,74.14,168.21,40613,5,4,1478.27,1,5,36
2022-07-30,Brazil,Suburban,792.13,406.4,844.67,2,495,17.4,3,4597.81,36.92,136.08,59364,8,3,110.02,1,9,31
2023-12-19,Philippines,Suburban,4885.63,1050.95,1175.49,5,443,9.33,1,5332.31,33.73,148.87,74090,4,3,1310.01,0,3,43
2020-11-09,Brazil,Forest,2229.87,95.94,1520.44,4,887,12.31,2,6073.07,74.25,150.67,21487,3,3,619.61,0,9,13
2022-06-10,USA,Urban,3737.98,291.68,182.37,1,699,16.64,0,6023.16,52.1,138.44,26530,6,0,1892.0,0,9,48
2020-12-26,Mexico,Mountain,996.88,635.89,700.46,0,667,11.18,1,5317.92,53.58,52.41,76715,2,4,1397.63,0,11,29
2022-12-04,India,Suburban,844.85,2203.4,209.21,3,774,14.76,2,4067.27,64.45,174.81,8745,7,4,682.5,1,3,38
2023-08-25,India,Suburban,2651.5,637.39,1033.52,5,861,7.27,0,5844.56,89.21,187.5,3771,7,4,624.59,1,4,20
2021-07-07,India,Forest,763.41,1418.11,1020.15,4,105,14.79,2,5048.85,40.29,130.14,11479,4,3,2419.72,0,6,38
2023-06-15,USA,Suburban,1163.3,717.87,954.22,9,181,1.3,0,5189.75,47.99,66.82,88443,9,1,1438.34,1,10,49
2023-01-07,India,Coastal,5038.06,695.16,841.48,1,830,3.48,0,6952.53,68.92,148.21,45705,7,1,1197.18,0,12,35
2022-09-17,Germany,Mountain,1202.14,924.41,712.0,2,171,12.93,1,4055.85,72.06,104.56,90191,2,4,1050.82,1,0,39
2022-08-10,Nigeria,Forest,424.29,552.34,957.57,3,251,9.25,2,7074.22,72.37,60.99,5997,2,1,776.72,1,0,1
2022-06-11,Russia,Coastal,270.33,1153.14,1548.4,7,769,16.65,2,6798.34,65.72,178.13,15105,3,1,969.98,1,4,44
2024-02-06,Indonesia,Coastal,371.05,176.24,757.64,4,836,7.17,0,5068.0,65.3,156.76,87995,8,1,762.85,0,4,13
2023-04-28,Indonesia,Forest,3885.77,555.94,360.43,6,651,15.46,1,5193.41,38.89,170.72,40318,4,3,2262.33,1,10,27
2021-07-03,India,Forest,1050.92,2345.07,1270.19,3,751,3.21,1,4292.91,80.08,169.42,82305,5,4,3167.03,1,11,3
2021-10-22,Mexico,Forest,7631.05,1464.88,1813.9,4,314,18.64,2,5190.19,30.53,103.65,99555,3,4,1632.13,0,0,20
2021-05-17,Russia,Coastal,4555.43,774.43,342.99,2,607,8.66,1,5093.45,55.05,122.33,42290,8,2,663.94,1,6,28
2020-06-26,USA,Rural,5829.61,1309.28,291.08,1,873,5.0,3,4311.35,42.92,85.05,60376,3,2,1077.26,0,6,6
2021-07-25,Nigeria,Forest,3369.1,1896.82,330.97,1,891,15.89,0,4285.18,36.26,163.23,50027,2,1,152.81,1,3,46
2022-07-12,USA,Forest,2554.61,36.7,946.89,2,89,18.98,1,4761.04,49.17,128.59,64244,1,4,4581.82,1,1,46
2021-05-14,Russia,Mountain,817.81,446.21,3090.61,1,628,18.4,1,4990.79,69.43,147.5,45715,2,1,1468.43,0,1,9
2022-08-09,Nigeria,Forest,1662.31,290.57,2761.99,3,162,5.14,1,3287.43,59.82,103.49,33568,0,3,2738.83,1,3,45
2023-03-13,China,Suburban,2737.04,106.46,1273.49,1,388,13.6,0,6127.19,82.41,151.88,37104,7,4,927.43,0,1,33
2023-06-03,Brazil,Suburban,3229.17,2598.2,322.67,2,111,11.16,1,4502.47,65.98,150.68,1077,0,3,717.24,0,0,4
2023-09-30,Philippines,Mountain,584.54,962.06,2740.67,2,276,14.64,1,4699.47,45.19,165.52,6136,5,3,2736.9,1,0,13
2022-02-15,Nigeria,Mountain,1428.95,1272.69,2840.67,2,223,10.0,0,5177.57,60.91,73.32,21319,1,4,1612.27,1,7,38
2021-11-19,Brazil,Rural,1562.19,304.66,488.59,5,183,9.66,0,4732.76,43.64,143.55,28719,2,1,4717.69,0,1,1
2020-02-28,Mexico,Forest,1514.38,436.8,1043.73,2,334,17.71,0,6139.36,40.72,181.92,71397,8,2,657.76,1,8,46
2022-10-09,India,Rural,663.28,580.58,1807.25,5,836,17.49,0,4715.72,87.3,64.12,85986,8,1,806.67,0,1,25
2021-10-27,Indonesia,Suburban,5389.03,826.28,2496.05,5,675,15.86,1,4416.72,58.08,194.11,67511,5,2,1799.51,0,10,1
2021-01-07,USA,Coastal,1391.04,1118.43,925.91,3,157,14.25,0,5619.97,69.07,81.17,77562,6,0,628.77,0,10,32
2022-09-25,Mexico,Rural,709.54,1060.74,1939.81,4,192,13.73,4,5760.1,82.41,190.48,98616,4,2,808.63,1,3,42
2021-03-10,India,Urban,5475.57,465.99,1368.41,2,618,1.6,0,7503.22,49.33,180.2,28482,6,4,642.65,1,6,49
2021-12-27,Russia,Urban,4558.29,1953.88,1312.6,0,343,15.12,1,3104.55,77.34,165.53,27763,5,2,4140.98,0,6,19
2021-06-13,Brazil,Urban,1855.25,1662.1,1223.33,1,326,12.94,1,5076.4,77.33,81.42,22256,4,0,727.03,1,9,17
2021-11-28,Germany,Mountain,1134.51,755.27,3190.69,5,541,6.4,1,5680.88,79.44,82.47,86503,2,2,1933.72,0,10,39
2021-07-26,China,Suburban,339.26,600.89,1091.93,5,612,16.49,0,4090.06,41.37,88.9,31077,1,1,208.76,0,7,41
2023-05-05,China,Urban,2421.54,431.83,1499.5,5,984,16.73,2,6406.05,87.77,171.57,23765,4,2,1565.47,0,2,12
2023-12-07,Nigeria,Suburban,1069.21,830.41,3203.55,2,520,18.68,1,4315.46,46.49,78.15,25508,7,4,846.2,1,0,20
2021-07-19,Brazil,Rural,1631.4,1594.65,1579.19,10,325,8.66,2,5118.41,76.61,137.13,24189,4,4,2488.23,1,11,22
2023-02-12,Mexico,Forest,5161.29,613.66,668.92,0,283,11.25,2,6087.53,39.74,166.63,82817,2,3,3269.93,0,3,45
2020-01-21,Germany,Mountain,1003.84,331.35,1002.7,4,291,18.17,0,3907.25,85.45,119.09,137,9,1,1417.79,0,2,31
2022-11-24,India,Mountain,2348.06,601.14,531.71,1,307,6.68,0,4866.97,55.67,176.11,11255,2,1,2297.74,0,10,34
2021-01-26,Nigeria,Urban,2864.2,767.59,989.35,3,798,16.03,1,5767.79,70.12,134.32,25724,4,2,552.7,0,3,23
2020-06-24,USA,Coastal,3805.41,161.77,926.88,3,81,19.84,1,5150.86,81.01,139.27,81047,8,2,2894.45,1,5,44
2021-05-09,China,Coastal,1540.68,113.24,767.21,4,416,13.21,1,5668.57,46.94,151.52,78774,7,4,319.12,0,0,19
2024-01-14,Philippines,Forest,1417.31,340.66,1224.46,1,397,19.68,1,5799.48,53.34,176.9,58605,6,3,2452.77,0,12,49
2022-04-12,China,Suburban,1391.05,1950.79,227.83,0,809,10.56,1,4471.09,48.8,50.7,10252,4,0,1991.24,1,0,2
2022-09-27,Philippines,Rural,2187.34,1525.44,3684.4,4,181,3.48,1,6618.73,46.97,108.88,40244,8,2,3908.05,1,12,2
2023-02-11,USA,Urban,4431.84,79.7,941.99,3,824,3.92,1,4159.53,60.62,194.45,4256,1,1,861.08,0,11,38
2021-05-07,Germany,Suburban,1340.58,210.79,1047.1,5,820,14.76,0,6356.98,62.8,64.8,37221,5,2,394.97,1,11,39
2023-11-15,Nigeria,Rural,87.23,1102.84,2708.42,4,842,0.52,4,5351.55,34.61,85.02,76064,6,3,1140.26,0,11,37
2022-09-02,Philippines,Suburban,3088.3,387.14,1563.03,2,417,13.41,1,4383.73,70.4,135.64,2483,6,1,885.63,0,1,12
2023-08-15,Germany,Coastal,1754.66,869.26,751.72,4,811,3.45,0,4137.5,55.2,178.68,27348,3,3,1134.12,0,9,28
2023-12-28,USA,Coastal,2425.41,86.94,839.41,0,314,19.7,1,5280.93,83.37,64.58,81022,1,1,1951.52,1,9,11
2022-10-02,Mexico,Urban,353.83,589.93,2197.13,1,264,3.68,2,4780.1,83.13,50.6,30814,0,2,839.18,1,11,42
2022-07-06,USA,Coastal,1072.71,534.6,2413.18,4,264,11.27,0,5488.36,73.21,153.05,3172,0,3,1146.13,1,2,49
2020-02-05,Indonesia,Coastal,2916.72,1277.65,686.26,0,331,13.55,1,4773.45,81.23,139.6,23294,2,4,1940.79,0,11,29
2020-07-09,India,Forest,515.19,826.44,2664.03,6,881,16.48,0,5074.9,85.35,90.66,59571,6,1,1553.56,0,4,21
2021-08-25,Russia,Forest,2344.26,664.01,249.41,4,579,9.46,2,5511.81,64.64,193.64,39583,4,3,1453.97,0,8,29
2021-03-29,India,Coastal,1621.08,59.54,2911.2,6,908,18.71,0,4937.22,88.31,133.87,75672,6,3,1219.32,1,5,29
2022-04-08,USA,Urban,886.82,2401.64,1385.87,4,51,9.86,0,4743.28,87.32,149.51,71303,8,0,2587.19,1,4,40
2023-11-17,Mexico,Urban,824.21,1038.54,2640.57,4,562,5.42,0,5356.09,36.59,106.82,97843,7,0,1130.7,0,7,42
2021-05-13,Nigeria,Suburban,669.14,277.34,1683.73,0,865,12.06,0,4633.44,61.37,188.24,81403,0,2,263.74,1,14,12
2021-09-19,India,Coastal,1747.57,648.9,723.49,2,513,13.33,0,5671.6,36.87,91.41,11142,3,4,3140.49,1,0,2
2023-09-21,Nigeria,Coastal,1904.99,399.39,980.66,3,496,10.39,1,5454.72,71.05,162.32,73204,4,4,372.84,0,6,40
2023-04-06,India,Mountain,1236.32,479.11,746.17,1,412,14.8,0,5698.73,75.92,67.5,87976,6,3,1991.62,1,7,38
2022-01-25,Russia,Suburban,630.35,1506.94,576.78,2,265,8.7,2,5692.76,83.08,130.67,38454,7,3,2389.9,1,12,33
2022-08-27,China,Forest,2296.18,209.58,1514.0,3,213,0.58,2,4750.5,69.0,136.67,89038,7,3,1688.17,1,8,45
2023-02-07,Brazil,Forest,3127.2,1074.6,174.07,2,752,5.66,1,3000.84,57.24,78.25,91077,3,1,952.62,0,13,46
2022-12-23,USA,Urban,2600.58,1557.0,933.54,3,636,18.95,3,4838.57,39.36,98.57,17566,6,2,3312.84,0,10,10
2021-12-05,Mexico,Rural,5983.86,940.1,1142.28,1,587,15.38,2,5237.64,37.51,76.8,5792,1,2,352.81,1,8,41
2022-05-21,USA,Rural,1441.52,502.84,183.87,4,560,4.2,1,4880.76,59.14,176.75,24958,8,0,635.09,0,11,11
2023-02-01,Russia,Coastal,4146.28,255.54,1359.49,2,823,1.8,2,4280.01,79.95,148.58,37419,5,3,2058.88,1,12,16
2021-11-08,Germany,Coastal,964.09,297.35,1679.34,1,843,7.34,0,6240.33,75.04,116.97,49473,3,3,889.53,1,7,8
2021-12-21,India,Suburban,833.17,661.13,1504.47,4,270,16.81,2,4198.62,82.85,133.4,9842,5,1,755.51,1,9,47
2023-12-10,Indonesia,Mountain,1830.1,612.46,1488.28,1,604,2.57,2,4316.86,78.66,101.61,77084,6,3,2271.74,0,14,46
2022-07-18,China,Mountain,4767.01,1186.54,1164.76,6,683,11.1,2,4552.52,42.33,114.31,33583,9,3,2477.38,1,2,4
2021-07-08,Brazil,Urban,1317.61,96.67,440.18,3,690,5.86,2,4706.09,42.02,142.91,33932,7,2,3004.32,1,5,44
2021-09-19,India,Suburban,353.53,1492.19,34.53,3,826,14.66,0,4416.67,57.48,81.72,24080,3,3,422.83,0,4,28
2021-05-29,USA,Rural,3086.48,3613.59,912.36,5,332,0.51,1,4980.6,41.47,70.11,80654,8,1,898.19,1,2,17
2021-04-17,Mexico,Mountain,1568.19,549.58,720.17,3,120,5.9,4,5104.41,41.25,191.67,4975,5,1,3933.36,0,1,18
2020-09-04,Russia,Rural,2082.87,472.4,1140.34,5,934,13.75,0,4037.65,46.07,85.53,74535,0,4,133.61,0,1,5
2024-01-17,Nigeria,Suburban,872.32,517.2,549.47,2,423,11.16,0,3889.47,31.35,124.28,84774,2,4,8985.63,1,9,8
2021-01-29,Germany,Mountain,1817.22,640.54,2282.51,3,308,15.69,0,5719.61,64.28,164.23,79177,0,0,630.98,0,9,5
2021-10-08,Brazil,Forest,414.05,436.83,242.77,6,494,3.57,1,4951.95,53.8,133.41,71363,5,1,3219.43,0,9,35
2020-09-01,Philippines,Coastal,5443.43,38.14,643.53,6,250,10.85,1,6002.39,44.24,145.23,55101,5,1,2310.34,0,3,23
2023-01-02,Brazil,Mountain,3485.98,506.33,878.46,3,691,4.32,0,5640.25,38.05,74.51,57892,6,2,1132.13,1,8,22
2023-11-14,Mexico,Mountain,1755.81,676.08,1517.63,3,429,12.96,0,4705.23,57.35,109.24,15322,0,4,2250.15,0,14,48
2021-01-14,Indonesia,Suburban,3027.79,1619.72,1523.29,3,891,3.06,0,5435.5,66.12,153.54,25186,0,0,302.92,0,1,2
2021-01-27,Russia,Urban,966.25,206.33,2046.03,1,642,3.4,1,5744.44,88.4,81.47,72677,4,2,2280.6,0,4,36
2021-03-19,Brazil,Forest,3381.29,2134.84,1844.16,5,815,6.9,1,4196.86,45.23,122.53,8337,4,2,1901.71,1,12,3
2022-09-18,Philippines,Coastal,1270.76,407.52,924.73,3,464,8.34,2,3467.39,31.58,138.39,61870,0,4,3185.05,1,7,28
2021-07-20,Philippines,Forest,1197.98,236.97,1951.21,4,114,10.22,0,4049.54,74.16,168.4,55521,6,2,1572.64,0,9,44
2024-01-23,India,Suburban,712.7,1038.77,933.36,1,427,11.82,0,5573.01,44.11,82.45,42220,6,4,1180.89,0,10,23
2023-04-22,Russia,Suburban,2275.52,361.45,223.56,3,707,9.64,2,6723.93,59.06,196.71,75499,5,1,1990.17,0,1,9
2022-12-10,Indonesia,Coastal,1698.13,559.57,251.45,5,695,1.39,0,4964.56,78.49,195.11,90013,6,1,1826.48,0,13,19
2023-05-07,USA,Forest,4235.43,595.89,856.58,3,151,7.2,0,6273.39,32.22,51.84,1994,5,4,909.9,1,6,23
2021-08-02,China,Forest,636.95,990.09,408.26,1,91,1.7,2,5913.14,38.49,105.2,92066,9,3,1324.22,1,11,13
2020-07-24,China,Urban,2283.01,544.1,983.45,3,928,2.8,2,4300.73,35.89,60.18,32032,1,3,2477.18,1,5,46
2021-02-01,Nigeria,Rural,3717.56,489.23,1883.81,3,245,2.31,1,4933.86,44.02,97.59,17650,4,0,2105.48,0,0,9
2021-08-29,Russia,Forest,1930.42,396.87,788.75,4,409,3.58,3,5641.03,40.38,141.06,83469,6,3,373.43,0,12,5
2021-04-10,Nigeria,Suburban,1251.04,908.84,141.2,2,821,16.35,0,3825.82,49.0,141.31,60693,1,0,806.53,0,6,40
2022-01-09,Nigeria,Coastal,1893.75,342.12,1590.32,6,148,12.74,1,5848.5,74.78,64.5,28224,4,4,921.63,1,14,30
2021-01-02,Germany,Coastal,4011.99,1661.68,720.51,2,437,10.38,1,6071.2,32.54,151.57,85526,2,4,1848.07,1,9,23
2021-09-11,China,Urban,4010.87,602.04,877.78,4,114,14.78,0,5811.65,34.43,176.95,61436,8,4,1871.19,1,8,33
2020-01-29,USA,Rural,1518.84,65.03,4412.96,2,346,19.24,0,4880.59,63.86,144.67,45049,9,0,1187.0,0,0,21
2023-12-21,Brazil,Coastal,3964.4,767.1,2047.99,7,476,8.64,1,5484.34,61.22,96.49,41337,0,2,851.87,0,1,48
2022-12-29,USA,Urban,1637.32,879.84,2406.83,7,272,7.66,1,5982.97,58.44,50.37,23745,6,0,1495.32,0,6,13
2020-09-16,Indonesia,Coastal,3004.49,1676.18,806.25,2,806,19.57,0,3528.21,60.95,147.26,55725,9,2,398.32,1,0,42
2021-07-15,Philippines,Mountain,2476.82,268.74,3771.14,5,744,15.54,1,2602.58,74.52,151.66,46888,3,1,4084.46,0,12,41
2020-04-03,Brazil,Suburban,1210.34,226.41,488.76,3,964,15.65,1,5515.1,64.57,156.31,77864,4,1,1319.98,0,1,48
2020-04-21,Indonesia,Forest,736.94,1017.66,227.99,3,198,12.2,0,4403.27,57.42,55.89,1573,0,2,3077.64,1,2,41
2023-02-07,Brazil,Rural,3783.57,1468.56,4230.73,1,558,10.39,2,5180.08,34.91,127.47,33345,4,2,2045.88,1,1,12
2021-08-21,Indonesia,Forest,4503.16,256.89,145.1,2,491,11.24,0,5201.36,88.49,112.01,13987,7,3,2375.35,1,12,22
2023-11-29,Germany,Forest,2244.1,743.06,724.16,4,463,13.22,2,6224.48,44.36,165.1,89337,5,2,3423.28,1,1,4
2020-09-15,Germany,Mountain,1635.63,552.95,1608.79,5,165,7.85,0,5170.65,82.15,158.4,40688,1,2,1945.28,0,1,9
2023-07-30,Nigeria,Rural,560.89,267.24,815.06,2,952,15.75,1,5531.93,52.74,192.6,24394,1,4,3150.95,1,6,31
2022-10-02,Russia,Forest,3718.21,522.9,605.26,2,502,18.23,0,5464.79,71.04,184.63,90968,8,0,2464.24,0,9,48
2020-07-29,Brazil,Urban,2059.79,1387.62,1093.1,0,369,11.64,1,5792.64,57.25,133.7,76798,0,2,1175.89,0,3,2
2020-01-26,Mexico,Coastal,1354.27,604.4,1038.91,5,819,7.94,0,4433.53,51.25,197.07,95678,1,4,1100.03,1,3,46
2023-03-21,Nigeria,Suburban,3063.54,497.02,1196.51,2,932,14.06,1,5303.67,66.86,72.53,20610,7,2,1779.75,1,7,36
2021-08-05,USA,Coastal,462.95,973.84,2566.88,2,500,4.05,0,2667.68,62.17,51.07,9692,5,3,1418.39,0,4,11
2022-08-19,Germany,Suburban,680.08,1487.97,1677.55,4,945,19.39,2,4368.01,43.95,66.17,33929,2,2,989.59,1,0,29
2022-09-07,China,Urban,935.88,202.03,901.72,6,128,13.33,2,6022.05,50.17,103.27,70282,2,2,1219.15,1,14,36
2022-06-21,Germany,Coastal,2422.05,770.17,1321.36,1,792,1.82,1,3673.48,32.06,163.29,4871,8,4,1332.48,1,1,34
2021-11-28,China,Mountain,1909.42,410.16,13.16,2,406,10.83,0,3783.14,41.62,107.46,33223,1,2,1001.64,0,14,47
2021-01-12,Brazil,Urban,2627.72,606.88,954.55,1,168,15.13,0,5650.59,50.15,167.09,3108,9,4,2990.58,0,9,9
2020-04-15,Brazil,Mountain,3548.96,1038.46,1404.24,2,635,5.92,3,4386.75,88.33,161.42,97960,4,0,206.42,1,14,12
2021-06-01,Indonesia,Rural,2694.47,443.39,550.93,2,570,1.49,2,6254.51,61.63,169.15,82309,6,4,2565.27,1,13,21
2022-09-05,China,Coastal,5519.33,540.21,744.68,1,328,10.04,0,5074.94,72.05,78.09,40808,5,0,3453.46,0,11,5
2020-08-21,Philippines,Mountain,3543.37,1299.08,2055.49,4,831,16.76,1,6521.23,70.42,127.41,58487,0,2,6160.17,1,2,7
2020-05-13,India,Coastal,1516.04,861.78,401.44,2,615,5.4,0,6701.54,88.85,156.9,80034,9,0,2903.6,1,13,44
2022-03-31,USA,Rural,1066.69,528.77,2095.33,2,941,14.48,1,6275.58,63.34,92.63,63376,2,1,767.3,0,3,37
2022-10-04,Nigeria,Forest,1552.5,662.05,3215.74,0,94,8.45,1,4489.72,65.13,175.7,75343,4,1,813.02,0,8,3
2020-05-31,Indonesia,Coastal,2760.58,619.16,763.0,2,274,1.66,1,3880.29,48.0,166.9,43277,2,4,2845.17,0,13,15
2023-03-27,Brazil,Rural,1165.3,57.48,407.71,4,577,6.43,0,6271.39,67.57,67.98,65648,2,3,2044.41,0,9,19
2023-07-13,USA,Urban,2813.98,672.19,577.74,3,773,6.62,3,4984.89,75.46,82.68,98792,4,2,1262.23,1,9,49
2023-11-06,Nigeria,Coastal,2594.01,131.08,3058.87,1,761,18.14,2,5200.46,36.2,85.61,51209,7,1,1079.63,0,14,3
2020-04-19,Russia,Urban,727.22,1455.55,383.99,7,290,19.64,1,6148.55,58.81,181.77,76611,9,3,2511.44,0,4,20
2020-11-06,Mexico,Rural,3498.53,127.01,408.77,2,663,4.59,1,3878.26,55.31,78.01,69313,7,4,188.78,0,10,15
2020-11-01,India,Urban,2187.22,389.99,141.81,3,531,8.9,2,5588.48,36.82,143.31,46868,7,0,848.22,1,12,38
2023-02-26,China,Mountain,5344.25,318.69,731.34,3,144,19.55,3,4506.65,50.48,59.74,76232,5,2,1151.82,0,10,11
2021-09-14,China,Forest,1641.72,1890.83,1227.28,5,414,8.44,0,5792.61,62.11,132.88,30463,8,0,3465.19,1,13,14
2020-06-23,Indonesia,Urban,1305.1,1408.4,2777.89,1,234,7.31,0,5386.3,68.99,71.19,45788,4,2,1330.54,0,5,4
2021-05-23,India,Mountain,642.89,15.44,790.56,3,185,2.64,0,5881.64,47.33,136.32,93454,9,1,396.87,1,10,35
2020-08-30,Russia,Forest,633.28,576.85,1571.73,1,74,15.19,3,4574.76,58.58,105.17,55593,6,3,1353.46,1,13,8
2023-02-16,Germany,Rural,3219.16,163.27,588.92,3,986,9.22,2,4290.31,74.04,140.85,3340,0,4,364.56,0,10,21
2022-05-02,Mexico,Rural,4994.06,674.47,336.44,3,367,12.95,1,5001.5,55.33,109.17,69391,3,2,558.63,0,2,35
2023-05-26,Mexico,Coastal,1535.43,1019.07,2513.53,5,382,10.44,0,4419.08,86.45,178.14,2304,0,1,2834.41,0,12,4
2023-05-05,USA,Mountain,1458.08,725.98,1199.76,5,963,3.9,0,4370.77,31.84,163.55,1447,9,4,483.57,0,1,36
2023-06-20,Brazil,Suburban,1758.75,1070.47,1673.08,2,611,3.94,0,4298.48,45.61,176.71,79157,1,2,1014.6,0,1,14
2021-04-07,Germany,Forest,3661.63,455.23,1171.38,1,730,18.83,0,5633.27,38.0,83.31,90162,5,1,2451.11,0,5,44
2022-12-06,Brazil,Coastal,733.24,746.43,217.32,2,851,17.85,1,6953.22,62.48,72.32,75047,0,4,2298.37,0,14,3
2022-02-18,Indonesia,Coastal,1993.73,1039.53,2046.43,1,149,12.41,2,5792.82,40.64,133.6,22897,8,0,2869.82,0,12,20
2022-07-11,Brazil,Rural,3269.25,375.06,556.3,4,419,0.52,0,5700.93,74.51,180.92,77598,5,3,1124.47,1,5,8
2022-06-25,India,Urban,2400.88,233.05,1507.58,5,642,8.95,1,5676.18,85.1,66.59,24737,7,3,1298.79,0,11,14
2021-08-31,India,Forest,45.92,300.36,356.52,5,61,10.84,0,4086.86,42.43,85.08,66133,9,0,3029.23,0,6,1
2023-04-20,USA,Suburban,2703.91,522.07,384.25,0,769,9.26,1,5692.79,84.41,161.9,40692,9,3,3639.44,0,13,20
2022-05-28,Indonesia,Rural,2417.57,591.49,597.81,5,126,18.55,0,3197.3,67.91,119.8,58181,7,3,1106.17,0,8,14
2021-09-17,USA,Rural,4143.39,784.44,464.96,1,636,1.3,0,5373.45,41.77,140.52,6360,1,2,1774.44,1,2,28
2023-03-10,Russia,Suburban,4734.82,268.96,321.02,2,731,13.27,2,5733.52,74.19,138.76,66550,1,1,1671.88,0,14,39
2023-06-25,Nigeria,Urban,4005.77,1064.31,4156.17,2,872,6.62,1,5813.37,35.45,111.85,13824,2,0,1269.07,0,6,45
2020-05-03,Brazil,Mountain,1765.96,2221.37,1058.01,0,397,11.41,2,5651.32,71.53,155.86,31801,7,1,2348.18,1,6,9
2023-06-02,Philippines,Mountain,336.03,321.22,187.13,3,492,13.29,0,3754.19,81.68,177.84,60209,7,3,3496.1,1,7,23
2020-07-22,Philippines,Suburban,1449.75,3162.98,339.78,1,740,9.1,0,4358.03,87.02,186.16,5063,4,1,2836.98,1,4,16
2021-03-01,China,Forest,1723.59,2444.24,496.09,4,137,3.39,0,6175.78,33.27,56.96,52901,1,4,137.02,0,2,48
2023-07-05,Brazil,Urban,4952.42,589.77,683.63,3,998,10.62,1,5369.31,33.72,133.04,18858,3,0,1192.31,0,10,27
2021-03-08,India,Urban,880.15,507.42,1764.06,3,514,18.69,2,5315.67,85.82,56.06,71295,3,0,707.21,0,10,40
2021-06-25,Brazil,Coastal,477.36,295.72,1227.57,5,826,10.95,1,4469.67,77.38,185.14,29721,6,0,653.14,0,12,8
2023-09-14,USA,Urban,1171.6,1194.1,1035.58,3,543,2.9,2,3897.6,76.46,114.39,72512,3,2,294.11,1,1,28
2020-06-15,Germany,Suburban,923.05,626.73,238.4,4,271,16.57,0,4269.15,74.56,185.08,78445,9,1,1400.83,1,3,18
2020-11-17,Indonesia,Forest,430.57,687.85,1548.74,1,564,4.82,0,3610.22,73.04,78.15,89464,5,1,256.33,1,11,34
2021-05-06,Brazil,Urban,1561.66,238.82,221.37,1,167,7.72,1,5550.52,66.79,74.36,55174,1,2,826.2,1,7,2
2020-12-21,Nigeria,Coastal,1775.38,1221.27,873.47,4,185,8.86,1,2067.82,78.76,186.25,46183,1,0,2331.44,1,13,24
2023-02-04,Brazil,Mountain,404.29,469.68,1294.02,2,236,7.12,0,4272.15,32.05,190.76,76056,4,2,2311.37,1,4,10
2020-06-02,India,Urban,1298.5,179.01,1329.65,3,591,8.39,0,6973.27,74.42,165.02,29880,0,2,1772.93,0,0,49
2020-11-16,Germany,Urban,872.01,547.77,1163.43,1,628,16.01,0,4785.71,64.98,83.3,61052,1,3,3893.9,0,11,40
2020-01-06,India,Forest,1819.62,256.92,1203.24,3,360,4.86,0,4227.25,84.45,75.8,99626,2,0,4891.7,0,11,8
2022-04-16,Indonesia,Suburban,1957.33,1678.04,1126.15,4,979,9.67,1,7234.4,86.18,162.2,56106,8,4,1350.42,0,2,5
2022-07-11,Philippines,Suburban,872.17,2420.85,281.38,2,428,0.89,0,4596.18,44.48,145.22,61635,8,3,8385.85,0,4,3
2023-11-12,Russia,Coastal,3477.46,562.45,265.73,4,860,10.4,1,6988.2,77.37,180.81,7363,6,0,3483.32,1,13,33
2023-05-01,Russia,Urban,1694.33,1378.02,1900.28,9,461,2.68,0,4721.83,87.42,91.52,40930,4,0,862.17,1,5,30
2022-08-20,Germany,Forest,909.2,1351.42,1920.66,4,470,6.0,1,5912.81,46.0,94.3,29561,1,0,2750.12,1,1,39
2021-08-19,India,Coastal,376.74,300.87,379.08,2,266,6.84,1,7292.65,81.07,159.75,11924,1,1,877.92,0,12,7
2020-03-07,Russia,Suburban,2035.86,651.87,1178.02,5,719,2.11,0,5149.35,65.19,90.18,82108,7,0,4183.75,1,7,45
2021-04-19,Russia,Rural,2413.47,385.06,1372.24,0,120,7.53,1,4657.56,53.7,119.36,7785,2,0,2822.85,0,12,21
2021-08-13,Indonesia,Coastal,1117.59,275.96,1036.58,2,879,10.21,2,5715.06,79.42,128.02,19478,6,4,2577.95,0,11,38
2023-12-18,Nigeria,Rural,1863.45,1422.82,2104.45,2,159,8.91,0,4011.01,82.22,150.38,39934,5,0,860.46,1,6,13
